Review,Date,Review_Length,sentiment,polarity_score,predicted_class,predicted_label
"The only complaint i have is about the video calling feature, its too small because it's split screen. Other than that, i love this app and use it daily. Edit 2/13/2022- this app has given me LOTS of issues. It's been twice where i open it and it says ""can't refresh feed."" I've tried uninstalling it and restarting the app but that didn't work. I've also had previous trouble logging in though that seems to be fixed now. I don't know what to do to get it to work. 7/20/23 it's long fixed lol",2023-07-20 14:29:00,493,POSITIVE,0.9973254203796387,,
"So a while ago, I noticed that when I talk to people my background keeps getting set back to default colors. I usually talk to my main people, and our background is different than default. But it won't go back, and when I change it the background would either go back to default or it would change but it would only last 1 minute. Please fix this, I've tried reinstalling but it didn't work. My friends said that theirs are normal, so there's something wrong with mine.",2023-07-12 05:02:00,469,NEGATIVE,0.9993782043457031,3.0,SECURITY
"Love the app but everytime I open it, after about ten to twenty minutes of scrolling it just stops playing reels, and it is aggravating cause it'll let me scroll and reload stuff, but it will never play it, and it won't let me watch the videos in my saved/stories as well. I've been keeping it updated, I don't understand why it's doing this. Edit: and now it stopped working. Crashes every time I try to get into it.",2023-07-09 06:07:00,417,NEGATIVE,0.999504804611206,3.0,SECURITY
I was fine with all the updates until I watch video posts on the explore page and I HATE that after the clip is done it just moves on to the next post! Esp. if the post has more than one slide it will just move on before I can see the next slide! So Flippin annoying!! Update: now I get this weird black border around all of the videos if I don't tap into it ðŸ˜¡,2023-07-26 04:34:00,363,NEGATIVE,0.9994783997535706,3.0,SECURITY
"Says I've had a msg for a year & none of the troubleshooting ideas work. Annoying, but tolerable. What's not is when I click on a Black content creator tagged in a caption & it won't load at all. Tried many times with several different accts & non-black accts opened just fine. I tried force-stopping, clearing data, uninstall/reinstall, restarting my phone, etc., just to be sure that what I'm seeing is actually what is happening. This seems deliberate & it needs to be corrected immediately.",2023-07-11 02:53:00,494,NEGATIVE,0.9986239671707153,3.0,SECURITY
Was better before.. Now the comments are one long line (on mobile devices) whereas before the user could see all the text and proofread it before sending it. It's not always easy to get a point across in one sentence. Please make the UI more user friendly. Also I'm wondering what drives the pictures that come up in the search window? I get many that I have no interest in.,2023-07-23 20:06:00,374,NEGATIVE,0.9989325404167175,6.0,MAINTAINABILITY
"App switches to dark mode and unuseable. For the past few weeks, while using the app, it will switch to dark mode and made text in black background. So the posts are unreadable and the app is pretty much worthless and unuseable. It sounds like this is very common and needs to be addressed. There are too many other platforms out there now for Instagram to be letting this go for this long. And yes, I cleared all caches, reinstalled and the whole works. Several times. â˜ºï¸",2023-07-12 13:18:00,476,NEGATIVE,0.999248206615448,6.0,MAINTAINABILITY
"Even with light mode on, sometimes the app will turn the text to white on white so I can't read anything. Seems to happen everytime when I click a link in someone's bio and go back to the app. Chat themes also I can't see anymore. Would be good to turn off the autoplay feature since if I'm looking at a photo and there's a reel below, it'll automatically start playing the reel and once the reel is done it'll scroll to the next post even though I'm not done looking at the picture.",2023-07-10 17:21:00,483,NEGATIVE,0.9994786381721497,2.0,AVAILABILITY
"Pretty good app, and I use it frequently, but there's been some issues lately. One is the apps weird color scheme changes where the background and posts be a clash of black and white where I can't see texts, another being issues with chat themes. After I close out, it will automatically change back to pre-determined, and it sucks because I can't see the colors that give it a personality",2023-07-10 10:39:00,389,POSITIVE,0.9909447431564331,,
"As a Photographer, Web Devloper, and Graphic Designer, it feels very limiting to use Instagram. The aspect ratio is set to 1:1 or 5:4, and the app doesn't respond to landscape mode on the device. Also, the algorithm seems to suppress posts unless you pay to boost them. Of course, we will never know as all of that info is kept secret from the users. It's still a good app for sharing photos and has the potential to reach a larger audience, and it's good to connect with a younger target market.",2023-07-10 00:45:00,496,NEGATIVE,0.9895723462104797,3.0,SECURITY
"Easy to use for the most part, good to talk to friends, but I've been having an issue where if I go to the home screen or open another app Instagram doesn't show in my recently used apps and I have to reopen it. It doesn't sound bad, but it's really annoying, and it's only happening with Instagram, even after reinstalling. I haven't found a fix and it's been happening even after a few updates.",2023-07-16 02:26:00,396,NEGATIVE,0.9994754195213318,6.0,MAINTAINABILITY
"The app will NOT open anymore. Any attempts to do so cause it to crash, saying there is a bug. I've done everything to fix it, restart my phone, uninstall and reinstall the app, check for updates both on my phone and the app, cleared cache, all of it. And the app continues to crash whenever I try to open it. I am FORCED to use the web browser, and it's ridiculous.",2023-07-09 14:50:00,366,NEGATIVE,0.9995073080062866,2.0,AVAILABILITY
"First, I lose the ability to use reels with no real indication as to why. I upgraded app versions, clear caches, and nothing. Now, I can't even scroll through posts without the app crashing and a pop-up saying that there is a bug that needs to be addressed and to download the new version when developers create a patch. How about I just delete this app and not use any form of social media. Do better.",2023-07-09 12:49:00,402,NEGATIVE,0.9995112419128418,6.0,MAINTAINABILITY
"It's currently impossible to edit reels in the app. They stop playing when you try to edit them, and if you save as a draft and open it again then the ""audio is no longer available"" and deletes from your video. Or, if you accidentally hit the back button, all of your work disappears. The screen also becomes partially white and black at times, making it difficult to read text.",2023-06-28 11:50:00,378,NEGATIVE,0.9994913339614868,6.0,MAINTAINABILITY
"The app is honestly my favorite social medias, and the only one that I reliably use, but there's just so many thing wrong with it that it's hard to recommend it to anyone. There's the fact that the screen will randomly become half light and half dark mode. Or the fact that only some devices get newer content such as notes, chat themes, and most recently the ability to use songs in notes, and I'm also able to use said features on my 2nd account but not the primary one.",2023-06-28 21:55:00,472,NEGATIVE,0.9995049238204956,6.0,MAINTAINABILITY
"Recently updated this app on a pixel 7 pro with the latest July patch. The app now force closes the moment it opens. It opens and disappears. I can reset the device and maybe get it to open if I get a notification from the app. But I would say about 70% of the time it just randomly closes. Incredibly frustrating. Unbelievable. I'm not sure if it is the operating system update or the most recent update on the app, but judging from the dates on some of the reviews I feel like it's the app update",2023-07-09 12:51:00,498,NEGATIVE,0.999506950378418,3.0,SECURITY
"not only has instagram become super annoying to use (reels were a mistake), but story highlights are still broken ðŸ¤ª i know for a fact this is a common mistake and there isnt a fix for it. highlights with music wont load, they freeze. and its not all of them either, just like some random ones. and its not because music was removed either !! the same song will work on one, but not another. idk just fix the app man",2023-07-07 18:23:00,418,NEGATIVE,0.9994670748710632,3.0,SECURITY
"Instagram sucks reason 3 and 7, out of way too many... can't turn sound on in people's story. Unless you have turned it on in the feed scroll. Can't start up where you left off, like you can in Twitter. Instagram will throw you to the very latest upload whether you wanted to see it or, not. App is becoming worse and worse. Almost time to delete it like I did with facebook. Videos glitching again.",2023-07-12 20:45:00,399,NEGATIVE,0.9995062351226807,3.0,SECURITY
Keeps crashing ever since yesterday. I've tried the web version and it works fine. For no rhyme or reason it just started insta crashing when trying to launch the app. Even went as far as removing the app and reinstalling it but after scrolling for only a couple seconds it kicks me off ://. I might be banned but that wouldn't explain me being able to use the web version. Hopefully this gets fixed soon.,2023-07-09 13:46:00,405,NEGATIVE,0.9994956254959106,6.0,MAINTAINABILITY
"Over personalization and location tracking make this app slow and frustrating to use on a consistent level. Especially while traveling or being outside of your original data coverage area. Having said that, Instagram is a considerable upgrade over Facebook in every way. An absolute huge problem is the constant scamming and soliciting from bots and people alike. Another incredibly large problem amongst the community is identity theft and buying of accounts, specifically on reels.",2023-07-20 05:43:00,483,NEGATIVE,0.9867689609527588,6.0,MAINTAINABILITY
"1. I see more ads than content from the 1200 people I follow. Also they changed back to the ""x weeks ago"" time format which is super inconvenient. 2. You used to be able to hold down on the image when editing and see what it looked like before, but now it moves the image. You have to go into each adjustment to see what it looked like before that adjustment. 3. When it saves the image to my gallery it's not the same image, ie. Theres black bars from straightening showing on the sides. ðŸ¤·â€â™‚ï¸",2023-05-17 18:28:00,502,NEGATIVE,0.9992641806602478,6.0,MAINTAINABILITY
"Formatting has just gotten worse and worse. When on the explore page, you can't scroll smoothly anymore and it plays random videos underneath or above as if you're watching them, when I'm trying to look at photos or read text-based posts. Super distracting. I don't understand why they're trying to phase out photos when this is literally a photo sharing app. The only thing that works somewhat smoothly is reels, and thats not what i want to use this app for at all. Makes me so frustrated.",2023-06-14 04:35:00,491,NEGATIVE,0.9995110034942627,6.0,MAINTAINABILITY
"Updating my review since many of the issues have been fixed. The ""save"" menu that pops up is a great addition to let us choose which save folder to use, but it'd be nice if it were less prominent. It covers most of the screen, but if I want to quickly save a video and move on without picking a folder, it gets in the way. Maybe a smaller menu would be better.",2023-05-22 20:26:00,360,POSITIVE,0.9984194040298462,,
"I'm not sure what's been happening. Seems update after update just causes one bug on top of another. Currently, and for a while now, my stories don't want to load correctly, or in today's case, at all. If I add text or stickers or anything really to one slide in a series, it adds it to every slide. I go through each slide and trash what isn't supposed to be there. Then, go back to the original and pull everything up from the trash area to replace it all. It's frustrating and time-consuming.",2023-06-09 13:19:00,495,NEGATIVE,0.9994825124740601,6.0,MAINTAINABILITY
"In the last couple of weeks, when I am using the app, it will randomly change to either an all white screen with photos or everything other than the photos will be black. When the screen is black, I am unable to see any words, only the photo. Through most of the glitches, I have sometimes found a work-around, not this time. The app too will just start scrolling on its own sometimes, which is really annoying. Please place attention & focus on this issue as well as the other people have mentioned.",2023-06-18 14:01:00,500,NEGATIVE,0.9994945526123047,3.0,SECURITY
"This app used to be smooth and functional. But every update seems to introduce new bugs rather than features while keeping the old bugs. Now it's to the point where the app is no longer functional. For example, one specific chat is inaccessible, when I click on it, the app crashes. Another example, when I'm scrolling through reels, after a certain point, I will scroll where the reel says, ""This reel is unavailable"" and the app will immediately crash. These are both broken essential features.",2023-06-11 07:14:00,496,NEGATIVE,0.9995075464248657,3.0,SECURITY
"I've never enjoyed this app, though I can appreciate the content on here. It's a decent way for artists to share their art and for others their life. However I do think that it's unreliable. The app is incredibly glitchy, which may just be me, but it's worth a note. Specifically on Instagram, the format will change dramatically whenever you go to a different screen. Ex: The messages could be in light mode, then you exit to the home screen and it's in dark mode. This has only happened recently.",2023-06-19 01:13:00,498,NEGATIVE,0.9994794726371765,3.0,SECURITY
"The change into format ... weeks ago instead of the precise date is very inconvenient. Also, after the update, the story icons are too big. While choosing pictures for a post, if you leave the app (for example, to go to the gallery to check the pictures), it automatically resets all the chosen pictures, so you have to choose again. It is unclear how to draft the posts. Also, the draft reels folder keeps appearing and disappearing. There's ads one after another (too often)",2023-06-06 12:48:00,476,NEGATIVE,0.9994852542877197,6.0,MAINTAINABILITY
So many issues. I think every update just messes something else up. I use IG mostly for video chats and all of a sudden I can connect to Bluetooth and I no longer have a full screen of the person I'm talking to nor do they get a full screen of me it's just two half photos on top of each other. Trash. The sound is not the best if you are in a room with anyone else since staying connected to Bluetooth is almost impossible. PLEASE FIX. I would love to go back to normal video calls.,2023-06-11 17:54:00,483,NEGATIVE,0.9995002746582031,6.0,MAINTAINABILITY
"This app really is just throwing itself in the garbage. It pushes reels so hard, but can't get them to work right, so I'll be scrolling them for a while, and when I close the app and click a different one later, the next swipes are same ones I had already seen, in the same exact order. It also tells me when to swipe a reel if I watch the same one a couple of times, as if it's giving me a tutorial on how to use it. Also posting images glitches edits and crops them weird no matter what you do.",2023-05-10 04:10:00,496,NEGATIVE,0.9995067119598389,6.0,MAINTAINABILITY
"Annoying. Has been crashing a lot lately, and freezes. My recently liked posts setting is missing. I used it a lot, but now it's gone. Hoping they'll bring it back. And it won't let me save posts. Edit: And now they've changed it so posts show how many weeks ago, and not an exact date. Also, the messages don't work. Sometimes they'll show up a few days after someone's sent them.",2023-05-25 07:29:00,381,NEGATIVE,0.9994997978210449,6.0,MAINTAINABILITY
"The words ""Something went wrong. Please try again"" haunt me in my sleep. Reels editor is a disaster. I have a fairly new and powerful phone so it's not my device's issue, plus I've seen other reviewers with the same problem. It freezes up as soon as you start doing ANYTHING in it (adding clips, trimming them, music, text, transitions, etc.). With how much money Meta has and how much they push reels in the algorithm, there's no excuse for it to be such a trainwreck!",2023-05-09 05:37:00,469,NEGATIVE,0.9995110034942627,6.0,MAINTAINABILITY
Very disappointed with trying to upload multiple pictures. When I got to edit them it then moves the so that they are no longer centered and are being cut off. So I get part of the picture and then get half an inch of a vertical black line on the left side. It's especially annoying when I've spent so much time adjusting these pictures just to find out they have been shifted and everything I do to fix it doesn't work.. it just goes right back to being cropped...,2023-06-04 02:20:00,465,NEGATIVE,0.999508261680603,6.0,MAINTAINABILITY
"Since the last update, Instagram story creation has been bugged. Specifically, the layered sticker function isn't working correctly. When you choose a subsequent sticker, it now forgets where you were in your images, so you have to scroll back down from the top (previously, it remembered). Also, if you add a sticker, it copies it onto the story after it when making multiple stories. Overall story resolution seems lower as well, at least when it comes to adding text to video or gifs to text.",2023-06-06 19:40:00,495,NEGATIVE,0.9992833733558655,6.0,MAINTAINABILITY
"Constantly declining. That is the best way I can describe my experience with Instagram. Entire chats being deleted, notifications never going out, themes appearing and disappearing, videos I send or receive often cannot be played (and are corrupted when you download them). There's just so many issues, and that's with just the DMs Sometimes audio keeps playing when I close the app, sometimes the app double posts comments, and sometimes it doesn't let me post at all and I have to start over again",2023-07-09 02:33:00,499,NEGATIVE,0.9995036125183105,6.0,MAINTAINABILITY
"Every update makes the app worse. They take away the good features and keep adding unnecesary stuff. Instagram lost its touch after everything became a reel. It used to be nice to see the pictures my friends posted. Now all I see are random reels, suggested reels, repeated reels and ads. This app lost its ""intimacy"" with the users. Now it feels like an overcrowded concert, something you cant enjoy. Really sad tbh, and I've used the app for more than a decade. It has gotten progressively worse.",2023-06-15 12:50:00,498,NEGATIVE,0.999503493309021,6.0,MAINTAINABILITY
"a necessary evil :/ unfortunately, a lot of connecting relies on ig nowadays but the app sucks. i have multiple accounts and the app is horrible as a business, creator, artist, or just normal user. basically no matter what kind of account you have the app is terrible and not user friendly. the algorithms suck. reels dont even play half the time. edits from one reel show up on others... u cant just scroll a chronological feed anymore...buttons always move and change. basically tiktok 2.0 ðŸ¤®",2023-07-26 01:34:00,496,NEGATIVE,0.9995133876800537,3.0,SECURITY
They just changed the layout for how you share videos/pics with friends. The layout was perfectly fine the way it was before. Now you're gonna make me download a previous version of the App because it's so stupidly changed. I don't like the new layout for sharing videos. I want the share to story option in at the top in a list format like it has been for however long. I don't want the option at the bottom of the screen. I don't need 15 chat heads displayed front and center. Please fix.,2023-05-20 07:26:00,490,NEGATIVE,0.9994756579399109,6.0,MAINTAINABILITY
"The app is full of glitches. The screen turns white and then I can't see anything else. I used to love this app when it was all about fun and beautiful pictures. Then it became all about videos which is really annoying. Now they've made it hard, nearly impossible, to find relevant content. Unless you only want to see content from accounts with huge followings, you're out of luck. They've made it nearly impossible for small accounts to get noticed by taking away the ""recent"" option.",2023-07-09 21:42:00,486,NEGATIVE,0.9995089769363403,6.0,MAINTAINABILITY
