reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,appVersion
38068e50-215d-46b6-968e-3dd58047de91,Aftab ul Qamar,A data stealer company that shows ads only.,1,0,463.1.0.53.85,5/15/2024 21:46,463.1.0.53.85
649bf248-41a9-41b1-a592-fdb93b466e37,Abdallah Fellagui,Ţop,1,0,436.0.0.35.101,5/15/2024 21:45,436.0.0.35.101
d2ebdfdf-9412-4917-a4be-7ebc3dca4390,Ronnie Vidallo,great!,5,0,463.1.0.53.85,5/15/2024 21:45,463.1.0.53.85
159ec0f5-2e40-4753-bd4a-229af99dca15,Noman Sheikh,I love Facebook,5,0,463.1.0.53.85,5/15/2024 21:42,463.1.0.53.85
be3d925b-a67f-49f0-b6d2-a0c075e525d7,Jurrian Kamstra,"Facebook has become an sell out platform, all the he time intrusive commercials/ads ruin user experience. It's more an advertising page with the occasional normal/uninterrupted posts in between..",1,0,463.1.0.53.85,5/15/2024 21:40,463.1.0.53.85
eea6ac11-cc18-4cfe-b59a-c69c5d12ac34,Carolyn Lindsay,Cant install nothing,1,0,,5/15/2024 21:40,
1ad6da0c-f600-4079-843d-4efe399f7551,Darxx Azhar,Very useful to us,2,0,463.1.0.53.85,5/15/2024 21:40,463.1.0.53.85
007c6f3b-31e8-494d-8b65-f6f5dfe7e150,Felix Business,This is good anyway,4,0,451.0.0.45.109,5/15/2024 21:39,451.0.0.45.109
1fa7a076-cc13-4e73-91b9-478bacca57bb,Frank Chigozie,I lost my phone and I got a new one and tried to log in It kept on saying wrong credentials where as the password and email are all correct,1,0,463.1.0.53.85,5/15/2024 21:39,463.1.0.53.85
2f9698e8-506f-4b60-9294-b0086dff96c6,BINOY C.D,Very good 👍,5,0,463.1.0.53.85,5/15/2024 21:38,463.1.0.53.85
0ba57dfc-a384-4617-8822-1ea314cd2ab6,PS Physoe,good app,5,0,463.1.0.53.85,5/15/2024 21:37,463.1.0.53.85
721bcf29-c856-412f-a7ea-40fff3d42a89,Arif Siddiqui,good,5,0,,5/15/2024 21:37,
f434a15f-46f5-4ec1-8c4d-d6c867ac2b13,Goodnews Digifa,"Learning sinks deeper when it's fun, and that happens only in a few schools like PineManor International School.",5,0,446.0.0.27.352,5/15/2024 21:36,446.0.0.27.352
72866701-a834-4ea9-8557-52f0e28a0774,Jean Jew,nice way to keep me connected.,5,0,463.1.0.53.85,5/15/2024 21:34,463.1.0.53.85
0c9c6048-8ed1-4fb0-98de-07c5137125a8,Yusuf Wasil,ممتاز,5,0,463.1.0.53.85,5/15/2024 21:34,463.1.0.53.85
19b93f90-347d-44ff-91b6-575bef406de0,Mj Hallett,New features are terrible it's glitchy and won't load anything correctly!,1,0,463.1.0.53.85,5/15/2024 21:33,463.1.0.53.85
5a2768f6-8421-447c-8c8e-81c104689b27,Attiq Jhon,very good,5,0,463.1.0.53.85,5/15/2024 21:33,463.1.0.53.85
939afccb-7d7c-499f-b1cb-68510199b991,Kelvin Bracewell,How can I message my friend on Facebook?,5,0,463.1.0.53.85,5/15/2024 21:32,463.1.0.53.85
3672fe58-e8bb-4877-8c80-40b31fcee6e7,Kolton finlinson,"Marketplace has mostly stopped working, people I message sometimes never get my messages.",1,26,456.0.0.39.90,5/15/2024 21:31,456.0.0.39.90
6b40969c-f2a3-4486-9c3e-0718ce2bb210,Md Faysal Reza,good,5,0,463.1.0.53.85,5/15/2024 21:26,463.1.0.53.85
647b40ef-fa46-4bb6-984c-b08cee364be3,Thom B.,absolutely the worst social media account. no support from the humanless system.,1,0,463.1.0.53.85,5/15/2024 21:26,463.1.0.53.85
fdb4cc49-4e69-416f-99c6-219ff807c4cd,Olowu Saidi Bamidele,good app,5,0,463.1.0.53.85,5/15/2024 21:25,463.1.0.53.85
422a6e16-c1c8-42b8-b1bc-b14b00bc45f8,Jemba Ali,It's too interesting,5,0,462.0.0.47.85,5/15/2024 21:24,462.0.0.47.85
ca19a4b0-809e-4296-a850-cc4fb4b74d3f,Asifalir745,thanks Facebook good wark and very nice app fb,1,0,463.1.0.53.85,5/15/2024 21:23,463.1.0.53.85
c7c739a0-5bf6-4c18-aaee-8d1adf0ff167,Stefan Pruszkiewicz,Simply perfect 💪,5,0,462.0.0.47.85,5/15/2024 21:22,462.0.0.47.85
e1642eba-2c8e-4c0b-8cd8-e904421ce829,Yetunde Kabala,great 👍,5,0,461.0.0.47.85,5/15/2024 21:21,461.0.0.47.85
16b5c30a-e4a9-4414-b957-637190e32569,Bhuwan Nath,Nice,5,0,463.1.0.53.85,5/15/2024 21:20,463.1.0.53.85
2381804d-f359-4ad9-b2f1-40ee42c085f0,Richard Fabian,"Can't update the app.. when it gets to 100%, it pops out unable to install messages... have tried installing many times stil same problem.and I keep wasting my data..",2,0,461.0.0.47.85,5/15/2024 21:19,461.0.0.47.85
074b508a-a8b6-410d-b9a7-6d940ac0a471,TUFAN Sardar,আআআআআআআআআআআআআআআআআ111 বিজেবিজে,1,0,463.0.0.45.85,5/15/2024 21:17,463.0.0.45.85
639ca4c1-d3b6-48b2-ba78-0b11b38c74ff,Milan kumαr,top apps,5,0,463.1.0.53.85,5/15/2024 21:16,463.1.0.53.85
ee027362-a8ef-499e-9a18-dd0294f305d4,Farmud Noor,nice 👍,5,0,463.0.0.45.85,5/15/2024 21:15,463.0.0.45.85
bc269d2b-8921-40c2-853f-194558e33856,ilyes Baccouchi,respect,1,0,463.1.0.53.85,5/15/2024 21:15,463.1.0.53.85
a1693365-2b4c-46ad-88d9-26d0f90780bb,Mhirps Mhirps,to follow up my facebook account unlock Retep Nhoj Oirepmi,5,0,463.1.0.53.85,5/15/2024 21:14,463.1.0.53.85
